File name                                                                                                                           ,File CRC   ,Class CRC
Sonic the Hedgehog Golf (SEGA) (1.6.7) (SonicGolf.SonicGolf) (88388874) Sony Ericsson S700 240x320.jar                              ,0x5c1412bc ,0x149f87b0
Sonic the Hedgehog Golf (SEGA) (1.6.7) (SonicGolf.SonicGolf) (364E81BF) Sony Ericsson S700 240x320.jar                              ,0x6d9d8a99 ,0x149f87b0
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (C4A52960) Nokia s40v2 128x160.jar                                     ,0x6e7a5420 ,0x16c855b2
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (AFC362BA) Nokia s40v2 128x160.jar                                     ,0x7fb6f9c9 ,0x16c855b2
Sonic the Hedgehog Golf (SEGA_Retail_Etty) (1.0.0) (SonicGolf.SonicGolf) (AFEC525E) Motorola RAZR V3 176x204.jar                    ,0x62f0ec94 ,0x193b248b
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (A09BAD75) Motorola RAZR V3 176x204.jar                                ,0x83264ca4 ,0x193b248b
Sonic the Hedgehog Golf (SEGA_retail_Etty) (1.1.0) (SonicGolf.SonicGolf) (E75FD105) Siemens CX65 132x176.jar                        ,0xce8617f7 ,0x01a89fb0
Sonic the Hedgehog - Golf by D@nilYcH (SEGA  supplied by Sket4er) (1.0.0) (SonicGolf.SonicGolf) (71B07B74) Siemens CX65 132x176.jar ,0xd815cbe6 ,0x01a89fb0
Sonic the Hedgehog Golf-Trane (SEGA.supplied by Trane) (1.6.6) (SonicGolf.SonicGolf) (3AB3DA2A) Sony Ericsson K800 240x320.jar      ,0xc269038b ,0x2bceeb2b
Sonic the Hedgehog Golf (SEGA) (1.6.6) (SonicGolf.SonicGolf) (5120318F) Sony Ericsson K800 240x320.jar                              ,0x9ee019cb ,0x2bceeb2b
Sonic the Hedgehog Golf (SEGA) (1.6.6) (SonicGolf.SonicGolf) (4313779F) Sony Ericsson 128x128.jar                                   ,0x04007526 ,0x340bc4d2
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (321B883D) Nokia s60v1 176x208.jar                                     ,0xcb9d146a ,0x35759477
Sonic the Hedgehog Golf (SEGA by dedomil.net) (1.0.0) (SonicGolf.SonicGolf) (7A13DC49) LG KG800.jar                                 ,0x920a239b ,0x545ebb55
Sonic the Hedgehog Golf (SEGA by dedomil.net) (1.0.0) (SonicGolf.SonicGolf) (7E90362B) Samsung SGH-ZV60 176x220.jar                 ,0xa542f833 ,0x5b4e98ac
Sonic the Hedgehog Golf (SEGA) (1.7.2) (SonicGolf.SonicGolf) (826E746B) Nokia s40v1 128x128.jar                                     ,0xee7bfc5d ,0x645b8c7f
Sonic the Hedgehog Golf (SEGA by dedomil.net) (1.0.0) (SonicGolf.SonicGolf) (9A3397EB) Motorola L6 128x160.jar                      ,0x7a014e32 ,0x652c9a5a
Sonic the Hedgehog Golf_konno (SEGA) (1.6.6) (SonicGolf.SonicGolf) (86986055) Sony Ericsson W810 176x220.jar                        ,0x7ed3267f ,0x6630b662
Sonic the Hedgehog Golf (SEGA) (1.6.6) (SonicGolf.SonicGolf) (FCE462E9) Sony Ericsson W810 176x220.jar                              ,0x80ce8d54 ,0x6630b662
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (54CFC1B9) Samsung SGH-ZV10 176x220.jar                                ,0x4a028e1c ,0x79203b6b
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (2E55F697) Samsung SGH-ZV10 176x220.jar                                ,0xa8797657 ,0x79203b6b
Sonic the Hedgehog Golf (SEGA) (1.6.6) (SonicGolf.SonicGolf) (D5F1CF6F) Sony Ericsson K700 176x220.jar                              ,0x28c9c63a ,0x7bccb933
Sonic the Hedgehog Golf (SEGA) (1.6.6) (SonicGolf.SonicGolf) (0AA08058) Sony Ericsson K700 176x220.jar                              ,0xd1367a94 ,0x7bccb933
